Sending logstash logs to /var/log/logstash/logstash.log.
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.marshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.numCpus 4 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.numGoRoutines 30 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.numBytesAllocatedHeap 714432 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.numBytesAllocatedStack 557056 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.numBytesAllocated 714432 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.numMallocs 4131228 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.numFrees 4127079 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.memoryStats.lastGCPauseTimeNS 774571 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.legacyAgentListener.receivedMessageCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.legacyAgentListener.receivedByteCount 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.dropsondeAgentListener.receivedMessageCount 15156 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.dropsondeAgentListener.receivedByteCount 1131648 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.legacyUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.logMessageTotal 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.valueMetricReceived 15156 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.errorReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.containerMetricReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.httpStartStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.EventUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.httpStartStopEmitted 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.uncategorizedEvents 15156 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.httpUnmatchedStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.httpUnmatchedStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.MessageAggregator.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.numCPUS 4 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.numGoRoutines 15 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.numMallocs 172958 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.numFrees 171689 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.logSenderTotalMessagesRead 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.numBytesAllocatedStack 491520 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.numBytesAllocated 221032 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.lastGCPauseTimeNS 897989 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.forwarder.dea_logging_agent.memoryStats.numBytesAllocatedHeap 221032 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.httpStopMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.httpStartStopMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.logMessageMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.valueMetricMarshalled 15156 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.counterEventMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.errorMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.containerMetricMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.httpStartMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-26.MetronAgent.eventMarshaller.marshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.numCpus 4 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.numGoRoutines 29 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.numBytesAllocatedHeap 679280 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-54.MetronAgent.memoryStats.numBytesAllocatedStack 475136 1438627852
